ds,y
12/27/2018,241
12/28/2018,244
12/29/2018,231
12/30/2018,171
12/31/2018,206
1/1/2019,149
1/2/2019,325
1/3/2019,316
1/4/2019,260
1/5/2019,248
1/6/2019,210
1/7/2019,385
1/8/2019,507
1/9/2019,507
1/10/2019,470
1/11/2019,372
1/12/2019,296
1/13/2019,344
1/14/2019,505
1/15/2019,562
1/16/2019,528
1/17/2019,516
1/18/2019,462
1/19/2019,293
1/20/2019,310
1/21/2019,472
1/22/2019,659
1/23/2019,696
1/24/2019,580
1/25/2019,515
1/26/2019,303
1/27/2019,342
1/28/2019,559
1/29/2019,539
1/30/2019,520
1/31/2019,490
2/1/2019,407
2/2/2019,251
2/3/2019,282
2/4/2019,490
2/5/2019,524
2/6/2019,505
2/7/2019,473
2/8/2019,442
2/9/2019,265
2/10/2019,312
2/11/2019,575
2/12/2019,543
2/13/2019,571
2/14/2019,478
2/15/2019,375
2/16/2019,245
2/17/2019,397
2/18/2019,440
2/19/2019,505
2/20/2019,574
2/21/2019,566
2/22/2019,448
2/23/2019,312
2/24/2019,279
2/25/2019,487
2/26/2019,482
2/27/2019,566
2/28/2019,469
3/1/2019,422
3/2/2019,241
3/3/2019,233
3/4/2019,468
3/5/2019,465
3/6/2019,458
3/7/2019,459
3/8/2019,416
3/9/2019,258
3/10/2019,270
3/11/2019,477
3/12/2019,437
3/13/2019,486
3/14/2019,459
3/15/2019,356
3/16/2019,292
3/17/2019,311
3/18/2019,483
3/19/2019,468
3/20/2019,500
3/21/2019,464
3/22/2019,408
3/23/2019,247
3/24/2019,256
3/25/2019,490
3/26/2019,563
3/27/2019,512
3/28/2019,475
3/29/2019,371
3/30/2019,255
3/31/2019,293
4/1/2019,503
4/2/2019,467
4/3/2019,521
4/4/2019,471
4/5/2019,381
4/6/2019,249
4/7/2019,281
4/8/2019,545
4/9/2019,525
4/10/2019,580
4/11/2019,572
4/12/2019,412
4/13/2019,236
4/14/2019,314
4/15/2019,552
4/16/2019,450
4/17/2019,433
4/18/2019,389
4/19/2019,308
4/20/2019,199
4/21/2019,227
4/22/2019,417
4/23/2019,457
4/24/2019,489
4/25/2019,532
4/26/2019,442
4/27/2019,278
4/28/2019,321
4/29/2019,474
4/30/2019,460
5/1/2019,423
5/2/2019,507
5/3/2019,376
5/4/2019,235
5/5/2019,262
5/6/2019,498
5/7/2019,488
5/8/2019,483
5/9/2019,581
5/10/2019,440
5/11/2019,269
5/12/2019,295
5/13/2019,538
5/14/2019,562
5/15/2019,548
5/16/2019,570
5/17/2019,479
5/18/2019,219
5/19/2019,257
5/20/2019,507
5/21/2019,523
5/22/2019,548
5/23/2019,463
5/24/2019,508
5/25/2019,186
5/26/2019,234
5/27/2019,335
5/28/2019,414
5/29/2019,408
5/30/2019,381
5/31/2019,344
6/1/2019,192
6/2/2019,213
6/3/2019,969
6/4/2019,607
6/5/2019,822
6/6/2019,793
6/7/2019,470
6/8/2019,324
6/9/2019,443
6/10/2019,807
6/11/2019,614
6/12/2019,708
6/13/2019,606
6/14/2019,477
6/15/2019,291
6/16/2019,352
6/17/2019,715
6/18/2019,757
6/19/2019,756
6/20/2019,647
6/21/2019,461
6/22/2019,216
6/23/2019,331
6/24/2019,535
6/25/2019,681
6/26/2019,596
6/27/2019,540
6/28/2019,351
6/29/2019,237
6/30/2019,266
7/1/2019,489
7/2/2019,632
7/3/2019,500
7/4/2019,364
7/5/2019,314
7/6/2019,237
7/7/2019,279
7/8/2019,437
7/9/2019,439
7/10/2019,472
7/11/2019,459
7/12/2019,424
7/13/2019,227
7/14/2019,255
7/15/2019,477
7/16/2019,455
7/17/2019,401
7/18/2019,404
7/19/2019,336
7/20/2019,228
7/21/2019,266
7/22/2019,374
7/23/2019,388
7/24/2019,409
7/25/2019,374
7/26/2019,370
7/27/2019,214
7/28/2019,219
7/29/2019,342
7/30/2019,456
7/31/2019,414
8/1/2019,414
8/2/2019,381
8/3/2019,231
8/4/2019,253
8/5/2019,427
8/6/2019,464
8/7/2019,531
8/8/2019,535
8/9/2019,360
8/10/2019,221
8/11/2019,218
8/12/2019,412
8/13/2019,469
8/14/2019,481
8/15/2019,440
8/16/2019,405
8/17/2019,272
8/18/2019,358
8/19/2019,536
8/20/2019,574
8/21/2019,632
8/22/2019,622
8/23/2019,443
8/24/2019,309
8/25/2019,334
8/26/2019,666
8/27/2019,776
8/28/2019,741
8/29/2019,617
8/30/2019,555
8/31/2019,355
9/1/2019,468
9/2/2019,571
9/3/2019,761
9/4/2019,724
9/5/2019,584
9/6/2019,486
9/7/2019,300
9/8/2019,410
9/9/2019,555
9/10/2019,600
9/11/2019,568
9/12/2019,512
9/13/2019,456
9/14/2019,306
9/15/2019,359
9/16/2019,512
9/17/2019,530
9/18/2019,520
9/19/2019,526
9/20/2019,394
9/21/2019,272
9/22/2019,327
9/23/2019,552
